都道府県,prefecture,学校,週ベ,報知,ホームラン
北北海道,hokkaido,クラーク国際,10,0,22
南北海道,hokkaido,北海,6,9,9
青森,aomori,八戸学院光星,2,2,1
岩手,iwate,盛岡大付,3,2,3
宮城,miyagi,東北,3,3,3
秋田,akita,大曲工,4,2,3
山形,yamagata,鶴岡東,5,5,3
福島,fukushima,聖光学院,1,1,3
茨城,ibaraki,常総学院,1,1,1
栃木,tochigi,作新学院,3,3,2
群馬,gunma,前橋育英,1,1,1
埼玉,saitama,花咲徳栄,2,2,2
千葉,chiba,木更津総合,1,2,1
東東京,tokyo,関東一,1,1,1
西東京,tokyo,八王子,2,6,2
神奈川,kanagawa,横浜,1,1,1
新潟,niigata,中越,8,4,8
富山,toyama,富山第一,1,1,1
石川,ishikawa,星稜,1,1,1
福井,fukui,北陸,11,7,6
山梨,yamanashi,山梨学院,3,3,3
長野,nagano,佐久長聖,4,1,5
岐阜,gifu,中京,2,3,2
静岡,shizuoka,常葉菊川,2,9,6
愛知,aichi,東邦,1,2,1
三重,mie,いなべ総合,1,2,1
滋賀,shiga,近江,5,5,5
京都,kyoto,京都翔英,2,1,2
大阪,osaka,履正社,2,1,1
兵庫,hyogo,市尼崎,0,0,0
奈良,nara,智弁学園,1,1,1
和歌山,wakayama,市和歌山,2,1,2
鳥取,tottori,境,2,2,4
島根,shimane,出雲,12,6,8
岡山,okayama,創志学園,1,1,1
広島,hiroshima,広島新庄,2,2,1
山口,yamaguchi,高川学園,5,15,5
徳島,tokushima,鳴門,1,1,1
香川,kagawa,尽誠学園,5,7,5
愛媛,ehime,松山聖陵,5,4,5
高知,kochi,明徳義塾,1,1,1
福岡,fukuoka,九州国際大付,4,9,12
佐賀,saga,唐津商,8,11,0
長崎,nagasaki,長崎商,11,6,5
熊本,kumamoto,秀岳館,1,1,1
大分,oita,大分,2,1,1
宮崎,miyazaki,日南学園,1,1,1
鹿児島,kagoshima,樟南,2,2,3
沖縄,okinawa,嘉手納,7,5,7